"Chinés simplificat 
(RPC)","Chinés traditional 
(Taiwan, etc.)",HSK,Pronunciation,Signification
倍,倍,4,bèi,-plic; vezes (multiplicatori)
本来,本來,4,běnlái,originalmen; in prim
笨,笨,4,bèn,stupid; foll; ínhabil
比如,比如,4,bǐrú,por exemple; tal(es) quam
毕业,畢業,4,bì yè,graduar; ganiar un gradu scolari/universitari
遍,遍,4,biàn,un vez; omniloc; torne (contator por vezes o tornes)
标准,標准,4,biāozhǔn,(un oficial) standard; norme; criterie
表格,表格,4,biǎogé,formul (document)
表示,表示,4,biǎoshì,expresser; monstrar; indicar
表演,表演,4,biǎoyǎn,"performar; luder (in un teatre, etc.)"
表扬,表揚,4,biǎoyáng,laudar; recomendar
饼干,餅幹,4,bǐnggān,biscuit; craca-bonbon
并且,並且,4,bìngqiě,e; in plu; ultra
博士,博士,4,bóshì,doctor; PhD
不得不,不得不,4,bù dé bù,dever; haver null alternative; ne posser ne
不管,不管,4,bùguǎn,sin egarda a
不过,不過,4,búguò,solmen; ma; támen
不仅,不僅,4,bùjǐn,ne solmen
部分,部分,4,bùfen,parte; section
擦,擦,4,cā,essuyar; polir; frottar
猜,猜,4,cāi,divinar
材料,材料,4,cáiliào,materiale
参观,參觀,4,cānguān,"visitar (un loc turistic, etc.); inspecter"
餐厅,餐廳,4,cāntīng,manjatoria; cafeería; restaurante
厕所,廁所,4,cèsuǒ,wc; toilette
差不多,差不多,4,chàbuduō,presc; presc sam
长城,長城,4,chángchéng,li Grand Mur
长江,長江,4,Chángjiāng,li Rivere Yangtze / Changjiang
尝,嘗,4,cháng,gustar; guste; (indica li passate)
场,場,4,chǎng,"corte; loc; agre; (contator por ludes, presentationes, etc.)"
超过,超過,4,chāoguò,superar; exceder
成功,成功,4,chénggōng,successe; successer
成为,成爲,4,chéngwéi,devenir
诚实,誠實,4,chéngshí,honest; honorabil
乘坐,乘坐,4,chéngzuò,cavalcar; vehicular; intrar (un vehicul)
吃惊,吃驚,4,chī jīng,esser surprisat / chocat / astonat
重新,重新,4,chóngxīn,denov; un vez plu
抽烟,抽煙,4,chōuyān,"fumar (un cigarette, pipe, etc.)"
出差,出差,4,chū chāi,viagear por aferes
出发,出發,4,chūfā,comensar; departer
出生,出生,4,chūshēng,nascer
出现,出現,4,chūxiàn,aparir; emerser
厨房,廚房,4,chúfáng,cocina
传真,傳真,4,chuánzhēn,fax; facsimile
窗户,窗戶,4,chuānghu,fenestre
词语,詞語,4,cíyǔ,paroles e expressiones; términos
从来,從來,4,cónglái,sempre
粗心,粗心,4,cūxīn,ínatentiv; negligent
存,存,4,cún,exister; deposir; provisionar
错误,錯誤,4,cuòwù,erra; miscomprense; miscomprendet
答案,答案,4,dá'àn,response; solution
打扮,打扮,4,dǎban,ornar se; maquilar se; aplicar cosmetico
打扰,打擾,4,dǎrǎo,disturbar
打印,打印,4,dǎyìn,printar
打招呼,打招呼,4,dǎzhāohu,notificar; salutar; informar
打折,打折,4,dǎzhé,vendir con disconto
打针,打針,4,dǎzhēn,injecter; reciver un injection
大概,大概,4,dàgài,probabilmen; circa; aproximativmen
大使馆,大使館,4,dàshǐguǎn,ambassade
大约,大約,4,dàyuē,aproximativmen; circa
大夫,大夫,4,dàifu,medico; doctor
戴,戴,4,dài,vestir; metter; respectar
当,當,4,dāng,deve; acter quam; laborar quam; egalar; (son de cloches)
当时,當時,4,dāngshí,tande; ye ti témpor; durant que
刀,刀,4,dāo,cultelle; lame
导游,導遊,4,dǎoyóu,guide turistic
到处,到處,4,dàochù,omniloc; partú
到底,到底,4,dào dǐ,in summa; in li fine (usat in questiones)
倒,倒,4,"dǎo, dào",crular; cader; fallir; exchangear | versar; in contrari al expectationes
道歉,道歉,4,dàoqiàn,petir pardon; excusar se
得意,得意,4,déyì,orgolliosi; self-satisfat
得,得,4,de,(particul complementari)
登机牌,登機牌,4,dēngjīpái,passe por abordar
等,等,4,děng,atender; rang; egal; etc.; e altri tal coses
低,低,4,dī,bass; abassar (su cap); clinar se
底,底,4,dǐ,funde; base
地点,地點,4,dìdiǎn,loc; location
地球,地球,4,dìqiú,Terra; planete
地址,地址,4,dìzhǐ,adresse
调查,調查,4,diàochá,investigar; investigation; inqueste
掉,掉,4,diào,lassar cader; cader
丢,丟,4,diū,perdir alquo; jettar; escartar
动作,動作,4,dòngzuò,movement; motion; action
堵车,堵車,4,dǔchē,congestion (de trafic)
肚子,肚子,4,dùzi,ventre; abdómine; stomac
短信,短信,4,duǎnxìn,textu-missage
对话,對話,4,duìhuà,dialogue; conversation
对面,對面,4,duìmiàn,contrari; oposit; al altri látere
对于,對于,4,duìyú,pri; regardante; por
儿童,兒童,4,értóng,infante
而,而,4,ér,e; ma; ancor; durant
发生,發生,4,fāshēng,evenir
发展,發展,4,fāzhǎn,developar; developament; crescentie
法律,法律,4,fǎlǜ,lege; statute
翻译,翻譯,4,fānyì,traducter; traduction; interpreter
烦恼,煩惱,4,fánnǎo,sucient; vexat
反对,反對,4,fǎnduì,oposir; luctar contra
方法,方法,4,fāngfǎ,metode; medie
方面,方面,4,fāngmiàn,aspecte; látere
方向,方向,4,fāngxiàng,direction; orientation
房东,房東,4,fángdōng,proprietario (de un dom)
放弃,放棄,4,fàngqì,abandonar; renounciar
放暑假,放暑假,4,fàng shǔjià,passar li vacanties estival
放松,放松,4,fàngsōng,relaxar; laxar; alaxar
份,份,4,fèn,"parte; portion; (contator por documentes, paperes, postos de labor, etc.)"
丰富,豐富,4,fēngfù,rich; inrichar; abundant
否则,否則,4,fǒuzé,si no; altrimen
符合,符合,4,fúhé,"sequente, secun"
父亲,父親,4,fùqin,patre
付款,付款,4,fù kuǎn,payar
负责,負責,4,fùzé,responsabil por (alquo); in servicie a
复印,複印,4,fùyìn,fotocopiar; duplicate
复杂,複雜,4,fùzá,complicat; complex
富,富,4,fù,rich; opulent
改变,改變,4,gǎibiàn,changear; alterar; transformar
干杯,幹杯,4,gān bēi,toste; tostar; trinca bon!
赶,趕,4,gǎn,rejunter se con; atinger; expulser
敢,敢,4,gǎn,audaciar
感动,感動,4,gǎndòng,emoer se; atendrir se
感觉,感覺,4,gǎnjué,sentir; devenir conscient; sentiment
感情,感情,4,gǎnqíng,sentiment; emotion; sensation
感谢,感謝,4,gǎnxiè,mersiar; esser grat
干,幹,4,gān,concerner; scude; sicc; nett
刚,剛,4,gāng,just nu; recentmen; firm
高速公路,高速公路,4,gāosù gōnglù,autostrade
胳膊,胳膊,4,gēbo,brasse
各,各,4,gè,chascun; omni
工资,工資,4,gōngzī,salarie; ganie
公里,公裏,4,gōnglǐ,kilometre
功夫,功夫,4,gōngfu,kung fu; habilitá; arte; labor
共同,共同,4,gòngtóng,junt; comun
购物,購物,4,gòuwù,comprar; ear comprar
够,夠,4,gòu,sat; atinger
估计,估計,4,gūjì,aprisar; estimar
鼓励,鼓勵,4,gǔlì,incoragear; inspirar
故意,故意,4,gùyì,deliberatmen; intentionat
顾客,顧客,4,gùkè,cliente; comprator
挂,挂,4,guà,apender; suspender
关键,關鍵,4,guānjiàn,decisiv; pivotal
观众,觀衆,4,guānzhòng,spectator; audientie
管理,管理,4,guǎnlǐ,supervider; gerer
光,光,4,guāng,lúmine; radie; clar; solmen; expenset; consumat
广播,廣播,4,guǎngbō,difuser; sur radio-difusion
广告,廣告,4,guǎnggào,reclam; anuncie
逛,逛,4,guàng,vagar; visitar; far fenestre-compras (vider ma ne comprar)
规定,規定,4,guīdìng,regulation; stipular; fixar
国籍,國籍,4,guójí,nationalitá
国际,國際,4,guójì,international
果汁,果汁,4,guǒzhī,succ de fructe
过程,過程,4,guòchéng,cursu de evenimentes; processe
海洋,海洋,4,hǎiyáng,ocean
害羞,害羞,4,hài xiū,rubijar; timid
寒假,寒假,4,hánjià,vacanties hivernal
汗,汗,4,hàn,sudore; sudar; Khan
航班,航班,4,hángbān,vola (de avion); numeró de vola
好处,好處,4,hǎochu,beneficie; avantage
好像,好像,4,hǎoxiàng,just quam; semblar esser
号码,號碼,4,hàomǎ,numeró
合格,合格,4,hégé,qualificat; compleent li norme
合适,合適,4,héshì,convenent; scope-conform
盒子,盒子,4,hézi,buxe
后悔,後悔,4,hòuhuǐ,regretar; repenter
厚,厚,4,hòu,spess (por plat coses); generosi
互联网,互聯網,4,Hùliánwǎng,Internet
互相,互相,4,hùxiāng,reciproc; con unaltru
护士,護士,4,hùshi,maladera/o; garda-malade
怀疑,懷疑,4,huáiyí,dubitar; suspecter; esser skeptic
回忆,回憶,4,huíyì,rememorar; revocar in mente
活动,活動,4,huódòng,activitá; exercitie; circummovar
活泼,活潑,4,huópo,vivaci
火,火,4,huǒ,foy
获得,獲得,4,huòdé,obtener; aquisir
积极,積極,4,jījí,activ; positiv; energic
积累,積累,4,jīlěi,acumular; acumulation
基础,基礎,4,jīchǔ,base; fundament
激动,激動,4,jīdòng,excitar; agitar
及时,及時,4,jíshí,in just témpor; prompt; sin tarde
即使,即使,4,jíshǐ,mem si; etsi; benque
计划,計劃,4,jìhuà,plan; project
记者,記者,4,jìzhě,raportero; jurnalist
技术,技術,4,jìshù,tecnologie; habilitá
既然,既然,4,jìrán,pro que; vidente que
继续,繼續,4,jìxù,continuar; durar; proceder
寄,寄,4,jì,inviar per posta
加班,加班,4,jiā bān,laborar ultrahoralmen
加油站,加油站,4,jiāyóuzhàn,benzin-station; benzinería; station de servicie
家具,家具,4,jiājù,mobles
假,假,4,"jiǎ, jià",fals; si; pruntar | vacanties
价格,價格,4,jiàgé,precie
坚持,堅持,4,jiānchí,persister in; perseverer
减肥,減肥,4,jiǎnféi,perdir pesa
减少,減少,4,jiǎnshǎo,reducter; diminuer
建议,建議,4,jiànyì,proposir; suggester; recomandar
将来,將來,4,jiānglái,li futur
奖金,獎金,4,jiǎngjīn,bonus
降低,降低,4,jiàngdī,reducter; abassar
降落,降落,4,jiàngluò,descender; aterrar
交,交,4,jiāo,delivrar; intersecter; payar; amicitá
交流,交流,4,jiāoliú,comuniicar; exchangear; dar e reciver; interaction; alternar
交通,交通,4,jiāotōng,trafic; transportation
郊区,郊區,4,jiāoqū,suburbe; periferie
骄傲,驕傲,4,jiāo'ào,orgolliosi; superb; vanitosi
饺子,餃子,4,jiǎozi,gyoza
教授,教授,4,jiàoshòu,professor; instructer; far un discurse
教育,教育,4,jiàoyù,education
接受,接受,4,jiēshòu,"accepter; receiver (un honor, etc.)"
接着,接著,4,jiēzhe,continuar; capter; sequer
节,節,4,jié,section; parte; festa; integritá moral; (contator por periodes scolari)
节约,節約,4,jiéyuē,frugal; sparniar
结果,結果,4,jiéguǒ,resulte; in fine
解释,解釋,4,jiěshì,explicar
尽管,盡管,4,jǐnguǎn,benque; malgré | líbermen; sin hesitation
紧张,緊張,4,jǐnzhāng,nervosi; tension
进行,進行,4,jìnxíng,continuar; interprender
禁止,禁止,4,jìnzhǐ,bannir; prohibiter
京剧,京劇,4,jīngjù,Opera de Beijing
经济,經濟,4,jīngjì,economie; economic
经历,經曆,4,jīnglì,interprender; experir
经验,經驗,4,jīngyàn,experiencie
精彩,精彩,4,jīngcǎi,brilliant; spectaculari
景色,景色,4,jǐngsè,sceneríe; paisage; vista
警察,警察,4,jǐngchá,policie
竞争,競爭,4,jìngzhēng,competir
竟然,竟然,4,jìngrán,contrari a expectationes; surprisantmen; mem
镜子,鏡子,4,jìngzi,spegul
究竟,究竟,4,jiūjìng,in fine; in veritá
举,舉,4,jǔ,levar; citar
举办,舉辦,4,jǔbàn,ducter; tener
举行,舉行,4,jǔxíng,"convocar; haver un incontra, ceremonie, etc."
拒绝,拒絕,4,jùjué,"refusar; declinar, rejecter"
距离,距離,4,jùlí,distantie; esser apart; for
聚会,聚會,4,jùhuì,incontrar; convocar; festar
开玩笑,開玩笑,4,kāi wánxiào,jocar; mocar
开心,開心,4,kāixīn,esser felici; juir; mocar alquem
看法,看法,4,kànfǎ,vise-punctu; opinion
考虑,考慮,4,kǎolǜ,"perpensar, considerar"
烤鸭,烤鴨,4,kǎoyā,anate rostat
科学,科學,4,kēxué,scientie; conossentie scientific
棵,棵,4,kē,contator por plantes
咳嗽,咳嗽,4,késou,tussar
可怜,可憐,4,kělián,"trist, miserabil, patetic"
可是,可是,4,kěshì,ma; támen
可惜,可惜,4,kěxī,"ínfelicimen, regretabilmen"
客厅,客廳,4,kètīng,salon
肯定,肯定,4,kěndìng,cert; definit; aprobar
空,空,4,"kōng, kòng",vacui; ciel | lassar vacui; ocie
空气,空氣,4,kōngqì,aer
恐怕,恐怕,4,kǒngpà,timer; yo time que…
苦,苦,4,kǔ,amari; miserabil
矿泉水,礦泉水,4,kuàngquánshuǐ,aqua mineral
困,困,4,kùn,dormaci; circumdar; pressat
困难,困難,4,kùnnan,desfacilitá; desfacil; problema
垃圾桶,垃圾桶,4,lājītǒng,paper-corbe; corbe por jettallia
拉,拉,4,lā,tirar; luder (un instrument musical cordat); trenar
辣,辣,4,là,spiceat; picant
来不及,來不及,4,lái bu jí,manca témpor (por far alquo); it es tro tard
来得及,來得及,4,lái de jí,hay ancor témpor
来自,來自,4,láizì,venir (de un loc)
懒,懶,4,lǎn,pigri
浪费,浪費,4,làngfèi,dissipar; prodigar
浪漫,浪漫,4,làngmàn,romantic
老虎,老虎,4,lǎohǔ,tigre
冷静,冷靜,4,lěngjìng,calm; sobri
礼拜天,禮拜天,4,lǐbàitiān,soledí; sábbat
礼貌,禮貌,4,lǐmào,cortesíe; mores; politesse
理发,理發,4,lǐfà,barbero; tonder li capilles
理解,理解,4,lǐjiě,comprender
理想,理想,4,lǐxiǎng,ideal
力气,力氣,4,lìqi,fortie corporal; efortie
厉害,厲害,4,lìhai,terribil; formidabil; feroci; cool; bonissim
例如,例如,4,lìrú,por exemple
俩,倆,4,liǎng,(lingue familiari) du (persones)
连,連,4,lián,mem; includente; juntar
联系,聯系,4,liánxì,integrar; ligament; conexion; contacter
凉快,涼快,4,liángkuai,frisc e plesent
零钱,零錢,4,língqián,monete; micri moné
另外,另外,4,lìngwài,in un plu; in plu; ultra to
留,留,4,liú,"lassar (alquem, un missage); restar"
流利,流利,4,liúlì,fluent
流行,流行,4,liúxíng,difuser se; prevalent; esser populari
旅行,旅行,4,lǚxíng,viagear
律师,律師,4,lǜshī,jurist; avocate
乱,亂,4,luàn,desórdine; confusion; arbitrarimen
麻烦,麻煩,4,máfan,trublar (alquem); trublant; vexant
马虎,馬虎,4,mǎhu,ínatentiv; negligent
满,滿,4,mǎn,plen; abreviation por manchurian
毛,毛,4,máo,capilles; pelisse; plum; 10 centimes
毛巾,毛巾,4,máojīn,manu-toale
美丽,美麗,4,měilì,bell
梦,夢,4,mèng,revar
迷路,迷路,4,mílù,perdir li via
密码,密碼,4,mìmǎ,passaparol; code secret
免费,免費,4,miǎn fèi,gratuit; sin custa
秒,秒,4,miǎo,seconde
民族,民族,4,mínzú,nationalitá; gruppe etnic
母亲,母親,4,mǔqin,matre
目的,目的,4,mùdì,scope; intention
耐心,耐心,4,nàixīn,esser patient
难道,難道,4,nándào,posse it esser que ...?; ne di me ...
难受,難受,4,nánshòu,sentir se mal; dolorar
内,內,4,nèi,intern; interiori
内容,內容,4,nèiróng,contenete; substantie; detallies
能力,能力,4,nénglì,capabilitá; capabil; habilitá
年龄,年齡,4,niánlíng,etá (de un person)
弄,弄,4,nòng,far; gerer; tractar
暖和,暖和,4,nuǎnhuo,plesentmen calid
偶尔,偶爾,4,ǒu'ěr,ye vezes; quelcvez
排队,排隊,4,pái duì,file; star in file
排列,排列,4,páiliè,arangear; alinear; permutation
判断,判斷,4,pànduàn,judicar; judicament; decider
陪,陪,4,péi,acompaniar
批评,批評,4,pīpíng,criticar
皮肤,皮膚,4,pífū,pelle
脾气,脾氣,4,píqi,temperament; disposition; humor
篇,篇,4,piān,folie; (contator por articules); scrite
骗,騙,4,piàn,fraudar; decepter
乒乓球,乒乓球,4,pīngpāngqiú,ping pong
平时,平時,4,píngshí,ordinarimen; in témpor de pace
破,破,4,pò,ruptet; damageat; fender
葡萄,葡萄,4,pútao,vinbere
普遍,普遍,4,pǔbiàn,comun; universal; general
普通话,普通話,4,pǔtōnghuà,lingue mandarin; lingue comun
其次,其次,4,qícì,sequent; secundmen
其中,其中,4,qízhōng,inter; in; includet inter tis-ci
气候,氣候,4,qìhòu,clima; atmosfere; tempe
千万,千萬,4,qiānwàn,ten million; far ínfallibilmen; dever
签证,簽證,4,qiānzhèng,visa (por intrar un land)
敲,敲,4,qiāo,frappar; chantage
桥,橋,4,qiáo,ponte
巧克力,巧克力,4,qiǎokèlì,chocolate
亲戚,親戚,4,qīnqi,parente (familial)
轻,輕,4,qīng,levi; facil; mild; moll
轻松,輕松,4,qīngsōng,relaxat; mild; detendet
情况,情況,4,qíngkuàng,circumstantie; situation
穷,窮,4,qióng,povri; exhaustet
区别,區別,4,qūbié,diferentie; distinter
取,取,4,qǔ,prender; selecter
全部,全部,4,quánbù,tot; complet
缺点,缺點,4,quēdiǎn,debilitá; defecte
缺少,缺少,4,quēshǎo,mancar
却,卻,4,què,ta; támen
确实,確實,4,quèshí,adver; in veritá; fidibil
然而,然而,4,rán'ér,támen; ancor; ma
热闹,熱鬧,4,rènao,activ; vivaci; ocupat
任何,任何,4,rènhé,qualcunc; quelcunc
任务,任務,4,rènwu,un mission; un tache
扔,扔,4,rēng,jettar; forjettar
仍然,仍然,4,réngrán,ancor
日记,日記,4,rìjì,diarium
入口,入口,4,rùkǒu,intrada
散步,散步,4,sàn bù,promenar
森林,森林,4,sēnlín,forest
沙发,沙發,4,shāfā,sofa
伤心,傷心,4,shāngxīn,trist; chagrinar; grivar
商量,商量,4,shāngliang,consultar; discusser
稍微,稍微,4,shāowēi,un poc
勺子,勺子,4,sháozi,coclare; coclaron
社会,社會,4,shèhuì,societá
申请,申請,4,shēnqǐng,far un aplication
深,深,4,shēn,profund; obscur (color)
甚至,甚至,4,shènzhì,mem (til un extremitá)
生活,生活,4,shēnghuó,vive; subsistentie; viver
生命,生命,4,shēngmìng,vive
生意,生意,4,shēngyi,aferes; comercie
省,省,4,shěng,sparniar; economisar; omisser; provincie
剩,剩,4,shèng,haver lu restant; restar; excedentie
失败,失敗,4,shībài,esser defetat; fallir; perdir
失望,失望,4,shīwàng,deceptet; perdir esperantie
师傅,師傅,4,shīfu,mastro; laborator qualificat; docente
十分,十分,4,shífēn,tre; plenmen; 100%
实际,實際,4,shíjì,ver; real
实在,實在,4,shízài,honest; in realitá; honestmen; adver; certmen
使,使,4,shǐ,usar; crear; causar; inviate; missagero
使用,使用,4,shǐyòng,usar; aplicar; administrar; manipular
世纪,世紀,4,shìjì,secul
是否,是否,4,shìfǒu,ca; si
适合,適合,4,shìhé,convener; decer
适应,適應,4,shìyìng,adaptar; far convener; aplicar
收,收,4,shōu,reciver; acceptar; colecter; recoltar
收入,收入,4,shōurù,aquisir; revenú
收拾,收拾,4,shōushi,nettar; far in bon órdine; reparar; saldar; punir
首都,首都,4,shǒudū,capitale; cité capital
首先,首先,4,shǒuxiān,in prim; ante omno
受不了,受不了,4,shòu bu liǎo,ne posser tolerar; ínsuportabil (suffrentie); odiar
受到,受到,4,shòudào,"reciver (influentie, restriction, etc.)"
售货员,售貨員,4,shòuhuòyuán,employate de bútica; venditor
输,輸,4,shū,"transportar; perdir (un lude, etc.)"
熟悉,熟悉,4,shúxī,familiari; conossentar se con
数量,數量,4,shùliàng,quantitá; númere
数字,數字,4,shùzì,numeró; ciffre
帅,帥,4,shuài,bell (por mannes); gracil; chef comandator
顺便,順便,4,shùnbiàn,comodmen; passante; durant que on fa un altri cose
顺利,順利,4,shùnlì,sin impedimentes; successosi
顺序,順序,4,shùnxù,sequentie; órdine
说明,說明,4,shuōmíng,explicar; explication; ilustrar; monstrar
硕士,碩士,4,shuòshì,gradu de mastro (M.A.)
死,死,4,sǐ,morir; mort; fixat ínpassabil; extremmen
速度,速度,4,sùdù,rapiditá; velocitá
塑料袋,塑料袋,4,sùliàodài,sac plastic
酸,酸,4,suān,acerb; dolorosi; dolore
随便,隨便,4,suíbiàn,quam on vole; ínformal; a hasarde; casual
随着,隨著,4,suízhe,junt con
孙子,孫子,4,sūnzi,nepote
所有,所有,4,suǒyǒu,omno; haver; possesser
台,"台, 臺",4,tái,platform; Taiwan (abr.); scri-table; scene; tifon; (contator por lettres)
抬,擡,4,tái,levar; levar (con palmes vers infra); portar (junt)
态度,態度,4,tàidu,maniere; atitude; statura
谈,談,4,tán,parlar; babillar; discusser
弹钢琴,彈鋼琴,4,tán gāngqín,luder piano
汤,湯,4,tāng,sup; bullion
糖,糖,4,táng,sucre; sucre candit; bonbon
躺,躺,4,tǎng,reclinar; jacer (ye li dorse o látere)
趟,趟,4,"tàng, tāng",(contator por viages) | marchar in aqua
讨论,討論,4,tǎolùn,discusser; discussion
讨厌,討厭,4,tǎoyàn,odiar; abominar; repegnant
特点,特點,4,tèdiǎn,un caracteristica; trate
提,提,4,tí,portar; levar; posir (un subjecte a discusser)
提供,提供,4,tígōng,furnir; provider
提前,提前,4,tíqián,atostar un date; avansar
提醒,提醒,4,tíxǐng,far memorar; far atenter; advertir
填空,填空,4,tiánkòng,plenar un spacie
条件,條件,4,tiáojiàn,condition; circumstanties; precondition
停,停,4,tíng,haltar; parcar (un auto)
挺,挺,4,tǐng,rectificar se; esser prominent; plutost (bon); tre
通过,通過,4,tōngguò,tra; trapassar
通知,通知,4,tōngzhī,notificar; informar; noticie
同情,同情,4,tóngqíng,compassion; simpatie
同时,同時,4,tóngshí,simultanmen
推,推,4,tuī,pussar; scrappar; refusar; ajornar; electer
推迟,推遲,4,tuīchí,jornar; procrastinar
脱,脫,4,tuō,"forjettar (pelle, cortice, etc.); desmetter; escapar"
袜子,襪子,4,wàzi,strumpettes; strumpe
完全,完全,4,wánquán,complet; tot; totalitá
网球,網球,4,wǎngqiú,ténnis; balle de ténnis
网站,網站,4,wǎngzhàn,situ web
往往,往往,4,wǎngwǎng,sovente; frequentmen; plutost frequent
危险,危險,4,wēixiǎn,dangere; dangerosi; riscosi
卫生间,衛生間,4,wèishēngjiān,toilette; wc
味道,味道,4,wèidao,guste; sapore
温度,溫度,4,wēndù,temperatura
文章,文章,4,wénzhāng,articul; composition
污染,汙染,4,wūrǎn,pollution; contamination
无,無,4,wú,ne haver; sin; ne
无聊,無聊,4,wúliáo,nonsense; enoyat; foll; stupid
无论,無論,4,wúlùn,sin egard a…
误会,誤會,4,wùhuì,miscomprender; erra
西红柿,西紅柿,4,xīhóngshì,tomate
吸引,吸引,4,xīyǐn,"atraer (interest, investiment, etc.)"
咸,鹹,4,xián,salat; salosi; tot
现金,現金,4,xiànjīn,cash
羡慕,羨慕,4,xiànmù,invidiar; admirar
相反,相反,4,xiāngfǎn,contrari; oposit
相同,相同,4,xiāngtóng,identic; sam
香,香,4,xiāng,aromatic; saporosi
详细,詳細,4,xiángxì,detalliat; detalliatmen
响,響,4,xiǎng,sonar; ecoar; tintinar
橡皮,橡皮,4,xiàngpí,cautchuc; gumme (por efaciar)
消息,消息,4,xiāoxi,novas; information
小吃,小吃,4,xiǎochī,repastete; intermanja; refriscament
小伙子,小夥子,4,xiǎohuǒzi,yuno
小说,小說,4,xiǎoshuō,roman; fiction
笑话,笑話,4,xiàohua,joca; rider pri
效果,效果,4,xiàoguǒ,efecte; resultate
心情,心情,4,xīnqíng,humor; statu mental
辛苦,辛苦,4,xīnkǔ,dur; exhaustent; laboriosi
信封,信封,4,xìnfēng,coverte; invelope
信息,信息,4,xìnxī,information; novas; missage
信心,信心,4,xìnxīn,confidentie; fide (in alquem/alquo)
兴奋,興奮,4,xīngfèn,excitation; excitar se
行,行,4,xíng,marchar; esser current; far; va far; oké
醒,醒,4,xǐng,aviligar se
幸福,幸福,4,xìngfú,felici; beat; fortunat
性别,性別,4,xìngbié,génere; sexu; distintion sexual
性格,性格,4,xìnggé,natura; personalitá; temperament
修理,修理,4,xiūlǐ,reparar; mantener; examinar e reparar
许多,許多,4,xǔduō,mult; mani
学期,學期,4,xuéqī,semestre scolari
压力,壓力,4,yālì,pression; stress
呀,呀,4,ya,"ah; oh; (usat vice 啊 por paroles finient in a, e, i, o, ü)"
牙膏,牙膏,4,yágāo,dentifricte
亚洲,亞洲,4,Yàzhōu,Asia
严格,嚴格,4,yángé,strict; severi; angust
严重,嚴重,4,yánzhòng,grav; seriosi
研究,研究,4,yánjiū,studiar; reserchar
盐,鹽,4,yán,sale
眼镜,眼鏡,4,yǎnjìng,oculvitres
演出,演出,4,yǎnchū,acter (in un teatre); performar; performantie
演员,演員,4,yǎnyuán,actor(a)
阳光,陽光,4,yángguāng,lúmine solari
养成,養成,4,yǎngchéng,cultivar; aquisir; formar
样子,樣子,4,yàngzi,maniere; aparentie
邀请,邀請,4,yāoqǐng,invitar
要是,要是,4,yàoshi,si; suposiente que
钥匙,鑰匙,4,yàoshi,clave
也许,也許,4,yěxǔ,fórsan; probabilmen
叶子,葉子,4,yèzi,folies (de árbores)
页,頁,4,yè,págine; folie
一切,一切,4,yíqiè,omno; omnicos
以,以,4,yǐ,usar; secun; por; per
以为,以爲,4,yǐwéi,pensar (falsmen); considerar (que); creder
艺术,藝術,4,yìshù,arte
意见,意見,4,yìjiàn,opinion; vise; suggestion; plende
因此,因此,4,yīncǐ,pro to; to es li rason por
引起,引起,4,yǐnqǐ,causar; avigilar
印象,印象,4,yìnxiàng,impression
赢,贏,4,yíng,victer; profitar
应聘,應聘,4,yìngpìn,acceptar un posto; candidatar se por un posto
永远,永遠,4,yǒngyuǎn,por sempre; eternmen; sempre
勇敢,勇敢,4,yǒnggǎn,brav; courageosi
优点,優點,4,yōudiǎn,merite; bon punctu; fortie; beneficie
优秀,優秀,4,yōuxiù,excellent
幽默,幽默,4,yōumò,humorosi
尤其,尤其,4,yóuqí,particularimen
由,由,4,yóu,sequer; de; per
由于,由于,4,yóuyú,pro; quam resultate de; mersí a
邮局,郵局,4,yóujú,oficie de posta
友好,友好,4,yǒuhǎo,amical (relationes); bon amicos
友谊,友誼,4,yǒuyì,amicitá; confrateríe
有趣,有趣,4,yǒuqù,interessant; fascinant; amusant
于是,于是,4,yúshì,pro to; ergo; dunc
愉快,愉快,4,yúkuài,felici; alegri
与,與,4,yǔ,(formal) e; dar; junt con; participar; particul final por expresser dúbite o surprise
羽毛球,羽毛球,4,yǔmáoqiú,badminton
语法,語法,4,yǔfǎ,grammatica
语言,語言,4,yǔyán,lingue
预习,預習,4,yùxí,(por studantes) preparar se ante classe; previder contenete
原来,原來,4,yuánlái,original; anteyan; it sembla que
原谅,原諒,4,yuánliàng,excusar; pardonar
原因,原因,4,yuányīn,cause; rason
约会,約會,4,yuēhuì,appointment; engagement; date
阅读,閱讀,4,yuèdú,leer; letura
云,"雲, 云",4,yún,nube; provincie Yunnan | parlar
允许,允許,4,yǔnxǔ,permisser
杂志,雜志,4,zázhì,gazette; revúe
咱们,咱們,4,zánmen,noi (includente li audiente); noi; nor
暂时,暫時,4,zànshí,temporari; transitori; por li moment
脏,髒,4,zāng,sordid; ínpur
责任,責任,4,zérèn,responsibilitá; blama; deventie
增加,增加,4,zēngjiā,acrescer; addir
占线,占線,4,zhànxiàn,li linea (de telefon) es ocupat
招聘,招聘,4,zhāopìn,recrutation; acceptar candidaturas por un posto
照,照,4,zhào,iluminar; brilliar; secun
真正,真正,4,zhēnzhèng,genuin; real; ver
整理,整理,4,zhěnglǐ,órdinar; arangear; far rect; nettar; paccar li bagage
正常,正常,4,zhèngcháng,normal; regulari; ordinari
正好,正好,4,zhènghǎo,just (in bon témpor); exact quantitá; per hasarde
正确,正確,4,zhèngquè,corect; just
正式,正式,4,zhèngshì,formal; oficial
证明,證明,4,zhèngmíng,pruva; testimoniar; confirmar; ateste
