"Chinés simplificat 
(RPC)","Chinés traditional 
(Taiwan, etc.)",HSK,Pronunciation,Signification
长,長,2,"cháng, zhǎng",long; longore | crescer; chef
唱歌,唱歌,2,chànggē,cantar (un canzon)
出,出,2,chū,departer; evenir
穿,穿,2,chuān,vestir; penetrar
次,次,2,cì,vez; -esim; órdine
从,從,2,cóng,de; ex; obedir; observar
错,錯,2,cuò,erra; errar; missuccessar
打篮球,打籃球,2,dǎ lánqiú,far basketballe
大家,大家,2,dàjiā,omnes
到,到,2,dào,arivar (a un loc); til (un témpor)
得,得,2,de,(particul complementari pos un verbe)
等,等,2,děng,atender; rang; gradu; egal; etc.
弟弟,弟弟,2,dìdi,(plu yun) fratre
第一,第一,2,dìyī,prim; numeró 1
懂,懂,2,dǒng,comprender; saver
对,對,2,duì,corect; un pare; faciar; star vis-a-vis; vers
房间,房間,2,fángjiān,chambre
非常,非常,2,fēicháng,extraordinarimen; tre
服务员,服務員,2,fúwùyuán,servitor(a)
高,高,2,gāo,alt
告诉,告訴,2,gàosu,dir; narrar; informar
哥哥,哥哥,2,gēge,(plu old) fratre
给,給,2,gěi,dar; octroyar; (particul passiv)
公共汽车,公共汽車,2,gōnggòng qìchē,(public) autobus
公司,公司,2,gōngsī,firma; corporation
贵,貴,2,guì,car; nobil; nobli; provincie Guizhou (abreviation)
过,過,2,guò,passar; crucear; (indica un experientie in li passate)
还,還,2,hái,ancor; in plu; mem
孩子,孩子,2,háizi,infante; filie
好吃,好吃,2,hǎochī,gustosi; saporosi
黑,黑,2,hēi,nigri; obscur; provincie Heilongjiang (abreviation)
红,紅,2,hóng,rubi; simbol de successe; bonus; populari
火车站,火車站,2,huǒchēzhàn,station ferroviari
机场,機場,2,jīchǎng,aeropartu; aerodrom
鸡蛋,雞蛋,2,jīdàn,ove (de galline)
件,件,2,jiàn,"(contator por coses, vestimentes)"
教室,教室,2,jiàoshì,sala de classe
姐姐,姐姐,2,jiějie,(plu old) sestra
介绍,介紹,2,jièshào,introducter; recomandar; introduction
进,進,2,jìn,intrar
近,近,2,jìn,proxim
就,就,2,jiù,poy; strax; solmen; pri
觉得,覺得,2,juéde,sentir; pensar
咖啡,咖啡,2,kāfēi,café (trincage)
开始,開始,2,kāishǐ,comensar; comense
考试,考試,2,kǎoshì,exámine; examinar
可能,可能,2,kěnéng,possibil; fórsan
可以,可以,2,kěyǐ,posser; licet; possibil; oké
课,課,2,kè,classe; subjecte; lection; cursu
快,快,2,kuài,rapid; strax
快乐,快樂,2,kuàilè,felici
累,累,2,lèi,fatigat
离,離,2,lí,departer; separar
两,兩,2,liǎng,du; ambi
零,零,2,líng,zero; lu restant
路,路,2,lù,via; viage; rute
旅游,旅游,2,lǚyóu,viage; tur
卖,賣,2,mài,vendir
慢,慢,2,màn,lent
忙,忙,2,máng,ocupat
每,每,2,měi,chascun; omni; singul
妹妹,妹妹,2,mèimei,(plu yun) sestra
门,門,2,mén,porta; apertura
面条,面條,2,miàntiáo,nudle
男,男,2,nán,mann
您,您,2,nín,"vu (singul, polit)"
牛奶,牛奶,2,niúnǎi,lacte (de un vacca)
女,女,2,nǚ,fémina; feminin
旁边,旁邊,2,pángbiān,látere; lateral
跑步,跑步,2,pǎobù,currer; trottar
便宜,便宜,2,piányi,modic
票,票,2,piào,billete; bank-nota; un vote
妻子,妻子,2,qīzi,marita
起床,起床,2,qǐ chuáng,stantar se (exeante li lette); avigilar se
千,千,2,qiān,mill
铅笔,鉛筆,2,qiānbǐ,crayon
晴,晴,2,qíng,"clar; fin (li tempe, etc.)"
去年,去年,2,qùnián,li annu passat
让,讓,2,ràng,petir; lassar
日,日,2,rì,sole; die; date; témpor
上班,上班,2,shàngbān,comensar laborar; dejorar; esser de servicie
身体,身體,2,shēntǐ,córpor homan
生病,生病,2,shēngbìng,devenir malad
生日,生日,2,shēngrì,anniversarie (de nascentie)
时间,時間,2,shíjiān,témpor; periode
事情,事情,2,shìqing,afere; cose
手表,手表,2,shǒubiǎo,tasca-horloge
手机,手機,2,shǒujī,portabile (telefon)
说话,說話,2,shuōhuà,parlar
送,送,2,sòng,liverar; dar; misser; inviar
虽然,雖然,2,suīrán,malgré; totvez
但是,但是,2,dànshì,ma; támen
它,它,2,tā,it
踢足球,踢足球,2,tīzúqiú,luder futballe
题,題,2,tí,subjecte; question in un exámine
跳舞,跳舞,2,tiàowǔ,dansar
外,外,2,wài,extern; in plu; foren
完,完,2,wán,finir se; complet
玩,玩,2,wán,luder; juir; amusar se
晚上,晚上,2,wǎnshang,vésper; nocte
往,往,2,wǎng,vader (vers un direction); verse; in li passate
为什么,為什麼,2,wèishénme,pro quo?
问,問,2,wèn,questionar; inquisiter
问题,問題,2,wèntí,question; problema
西瓜,西瓜,2,xīguā,aquamelon
希望,希望,2,xīwàng,desirar; esperar
洗,洗,2,xǐ,lavar (se)
小时,小時,2,xiǎoshí,hor
笑,笑,2,xiào,rider; subrider
新,新,2,xīn,nov; region autonom de Xinjiang (abreviation)
姓,姓,2,xìng,surnómine; nómine de familie
休息,休息,2,xiūxi,reposar
雪,雪,2,xuě,nive
颜色,顏色,2,yánsè,color
眼睛,眼睛,2,yǎnjing,ocul
羊肉,羊肉,2,yángròu,agnine
药,藥,2,yào,medicament; droque; chimicalie
要,要,2,yào,voler; besonar; va; important
也,也,2,yě,anc; in plu
一起,一起,2,yìqǐ,junt; in li sam loc
